"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","wheelchair_accessible","bikes_allowed"
"6955_3",116,47007874,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007737,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007667,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007884,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007736,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007666,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007873,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007735,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007665,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007872,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007734,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007664,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007814,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007733,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007663,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007813,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007662,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007632,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007812,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007661,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007631,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007811,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007660,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007630,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007810,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007659,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007629,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007809,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007658,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007628,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007808,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007707,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007627,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007807,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007706,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007626,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007806,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007705,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007625,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007805,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007704,"Stadionstraße","",1,,938,1,0
"6955_3",124,47007624,"Stadionstraße","",1,,938,1,0
"6955_3",116,47007804,"Stadionstraße","",1,,938,1,0
"6955_3",114,47007703,"Stadionstraße","",1,,938,1,0
