JAHR;SATZART1;SATZART2;FT_ENTF3;BE_NUTS3;FT_I;FT_I_ZS;KM_I;KM_I_ZS;TON_I;TON_I_ZS;TKM_I;TKM_I_ZS;FT_G;FT_G_ZS;KM_G;KM_G_ZS;TON_G;TON_G_ZS;TKM_G;TKM_G_ZS
2023;3;1;2;DE91B;33315,1;();3126765,3;();507460,9;();51275827,7;();33315,1;();3126765,3;();507460,9;();51275827,7;()
2023;3;1;2;DE91C;226357,5;;20879932,9;;2969502,5;();263819917,5;;226357,5;;20879932,9;;2969502,5;();263819917,5;
2023;3;1;2;DE922;283268,2;;26189587,9;;4053865,2;;375354746,4;;283268,2;;26198191,7;;4053865,2;;375438633,1;
2023;3;1;2;DE923;81462,6;();6635514,8;();1416259,8;();112521506,0;();81462,6;();6635514,8;();1416259,8;();112521506,0;()
2023;3;1;2;DE925;155726,7;;14092498,3;;1931229,2;;180309514,6;;155726,7;;14092498,3;;1931229,2;;180309514,6;
2023;3;1;2;DE926;56610,9;();5164355,4;();856991,9;();79309049,2;();56610,9;();5164355,4;();856991,9;();79309049,2;()
2023;3;1;2;DE927;156552,9;();14107263,9;();2757399,8;();250735063,5;();156552,9;();14107263,9;();2757399,8;();250735063,5;()
2023;3;1;2;DE928;172523,5;;15839285,7;;2440079,1;;220835449,0;;172523,5;;15839285,7;;2440079,1;;220835449,0;
2023;3;1;2;DE929;784439,5;;75040989,4;;9275034,8;;871859811,5;;784439,5;;75040989,4;;9275034,8;;871859811,5;
2023;3;1;2;DE931;90875,4;();8005565,5;();1101182,8;();95236094,1;();90875,4;();8005565,5;();1101182,8;();95236094,1;()
2023;3;1;2;DE932;165162,1;();14975410,5;();2276724,6;();207627853,1;();165162,1;();14975410,5;();2276724,6;();207627853,1;()
2023;3;1;2;DE933;226199,6;;20729937,1;;2523149,7;;227894568,0;;226199,6;;20729937,1;;2523149,7;;227894568,0;
2023;3;1;2;DE934;;/;;/;;/;;/;;/;;/;;/;;/
2023;3;1;2;DE935;95329,4;();8539099,4;();1184268,0;();105834597,9;();95329,4;();8539099,4;();1184268,0;();105834597,9;()
2023;3;1;2;DE936;36866,0;();3290979,2;();386436,0;();36934387,0;();36866,0;();3290979,2;();386436,0;();36934387,0;()
2023;3;1;2;DE937;163527,8;;15736806,4;;2275581,7;;222107397,7;;163527,8;;15736806,4;;2275581,7;;222107397,7;
2023;3;1;2;DE938;176762,4;;16537024,7;;2257974,6;;213422631,7;;176762,4;;16537024,7;;2257974,6;;213422631,7;
2023;3;1;2;DE939;132596,5;;12471300,7;;1652326,1;();156405357,2;();132596,5;;12471300,7;;1652326,1;();156405357,2;()
2023;3;1;2;DE93A;79646,0;;7961667,7;();1230836,4;();126350809,0;();79646,0;;7961667,7;();1230836,4;();126350809,0;()
2023;3;1;2;DE93B;107336,1;;10401355,4;;1220398,4;;115992142,9;();107336,1;;10401355,4;;1220398,4;;115992142,9;()
2023;3;1;2;DE941;39304,4;();3616995,5;();;/;;/;39304,4;();3616995,5;();;/;;/
2023;3;1;2;DE942;59279,8;();5326592,3;();914468,4;();76388039,4;();59279,8;();5352126,4;();914468,4;();76800453,5;()
2023;3;1;2;DE943;117242,0;;10335334,5;;1131568,1;();99360147,6;();117242,0;;10335334,5;;1131568,1;();99360147,6;()
2023;3;1;2;DE944;154708,9;;14319398,3;;1419497,5;();124601831,4;();154708,9;;14421709,4;;1419497,5;();126852361,6;()
2023;3;1;2;DE945;57863,4;();4938105,1;();;/;;/;57863,4;();4938105,1;();;/;;/
2023;3;1;2;DE946;148449,7;;13964079,0;;1732326,4;;162668483,4;();148449,7;;13964079,0;;1732326,4;;162668483,4;()
2023;3;1;2;DE947;106026,7;();9948829,8;();1094456,7;();101803832,0;();106026,7;();9948829,8;();1094456,7;();101803832,0;()
2023;3;1;2;DE948;244558,7;;22474248,0;;3537467,5;;320662838,4;;244558,7;;22486254,4;;3537467,5;;320911461,3;
2023;3;1;2;DE949;408518,3;;36225036,6;;5855004,4;;511174097,4;;408518,3;;37483373,9;;5855004,4;;533779933,8;
2023;3;1;2;DE94A;60449,4;();5425031,5;();683648,6;();59249550,4;();60449,4;();5444375,5;();683648,6;();59572672,5;()
2023;3;1;2;DE94B;109246,8;;9699320,3;;1368182,9;();116099801,3;();109246,8;;10614383,5;;1368182,9;();130217149,7;()
2023;3;1;2;DE94C;102488,0;();8937574,3;();1329189,2;();111827466,1;();102488,0;();9227797,7;();1329189,2;();117398994,0;()
2023;3;1;2;DE94D;116857,4;;10856897,6;;1486149,1;;139959748,8;;116857,4;;10910169,5;;1486149,1;;140800024,3;()
2023;3;1;2;DE94E;354823,3;;32861455,7;;4691704,9;;423509157,2;;354823,3;;32939382,0;;4691704,9;;424191051,6;
2023;3;1;2;DE94F;198779,1;;18301500,4;;2580673,0;;234572242,1;;198779,1;;18308423,4;;2580673,0;;234634549,1;
2023;3;1;2;DE94G;71156,8;();6170629,3;();1223972,8;();108989707,2;();71156,8;();6170629,3;();1223972,8;();108989707,2;()
2023;3;1;2;DE94H;;/;;/;;/;;/;;/;;/;;/;;/
2023;3;1;2;DEA11;217113,5;;18426483,4;;2028200,3;;167326430,5;;217113,5;;18576341,3;;2028200,3;;169034537,4;
2023;3;1;2;DEA12;430650,6;;36792751,8;;6302023,3;;544809180,7;;430650,6;;37788822,4;;6302023,3;;558910485,6;
2023;3;1;2;DEA13;188486,4;;16365795,1;;2091160,8;;179512387,3;;188486,4;;16442166,3;;2091160,8;;179653571,9;
